FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,NZL,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,NZL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,NZL,CLAS1_8,_Z,DIGITAL,0,2014
A,NZL,CLAS1_9,_Z,DIGITAL,0,2014
A,NZL,STRI,_Z,DIGITAL,.1005872711539268,2014
A,PAK,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,PAK,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,PAK,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,PAK,CLAS1_8,_Z,DIGITAL,0,2014
A,PAK,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,PAK,STRI,_Z,DIGITAL,.1873804926872253,2014
A,PAN,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,PAN,CLAS1_6,_Z,DIGITAL,0,2014
A,PAN,CLAS1_7,_Z,DIGITAL,0,2014
A,PAN,CLAS1_8,_Z,DIGITAL,0,2014
A,PAN,CLAS1_9,_Z,DIGITAL,0,2014
A,PAN,STRI,_Z,DIGITAL,.021954383701086,2014
A,PER,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,PER,CLAS1_6,_Z,DIGITAL,.1586998105049133,2014
A,PER,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,PER,CLAS1_8,_Z,DIGITAL,0,2014
A,PER,CLAS1_9,_Z,DIGITAL,0,2014
A,PER,STRI,_Z,DIGITAL,.2018915712833405,2014
A,PHL,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,PHL,CLAS1_6,_Z,DIGITAL,0,2014
A,PHL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,PHL,CLAS1_8,_Z,DIGITAL,0,2014
A,PHL,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,PHL,STRI,_Z,DIGITAL,.0867932289838791,2014
A,POL,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
